Name,Latitude,Longtitude
The Elephant and Castle Pub,51.495377761206754, -0.09956343271568348
The Electric Elephant Cafe Ltd,51.48963990000001,-0.09925359803015894
Sticky Mango (Anthony Bourdain Mural) ,51.506056167763575, -0.10998583414245579
The Stage Door Pub & Kitchen,51.501278,-0.1095707
Famous Three Kings,51.49073297963241, -0.20661753228673704
Broad Street Pump,51.5133462,-0.1387976
The Alexandra,51.46132727131377, -0.1382068592681129
King Charles I,51.5324539,-0.1241827
The Courtauld Gallery,51.51161986541989, -0.11752711508317182
The 43 Club, 51.5120692,-0.1303253
Sheephaven Bay,51.535130263708396, -0.14163262857245618
The Dublin Castle,51.5374286,-0.147751
The Cow,51.519166161975996, -0.19539041353001874
Camarthen Place (Film Location), 51.50148557355548, -0.0822205326375567
Palestra House,51.5042169,-0.1045173
Lord Nelson,51.50343347641693, -0.10263204211404495
Walworth Garden,51.48702456039093, -0.1021674727573191
The Town of Ramsgate,51.50347659303387, -0.06192573042991737
The Grapes,51.5087151,-0.0349695
Ye Olde Cheshire Cheese,51.5143141,-0.1093527
Grub Street,51.51975946868658,-0.09111675242539968
The Miller Pub,51.50221228721579, -0.08750984881269887
The Shipwright Arms, 51.50462258540842, -0.08355202999776488
Mimosa House,51.52006668330996, -0.11851031693917796
Exmouth Arms,51.525760766937616, -0.1096833374451133
The Prince of Wales,51.48821771448479, -0.10904648561936454
LSE Bankside House,51.5064088849789, -0.09855089424056807
Rev. Thomas Bayes Grave,51.523656,-0.0893026
Royal Statistical Society,51.5228766,-0.0904318
The Turk's Head,51.5037648,-0.0621999
St George in the East Church, 51.51028421386055, -0.06054948297230462
Southwark Cathedral,51.50618101512345, -0.08962798810307626
Redcross Way Swans Mural,51.5045315,-0.0932275
The Tabernacle,51.51692529088186, -0.20179074328338883
The Ten Bells,51.51931610393619, -0.07432262583595935
The Toucan,51.5151286,-0.1353426
St Paul’s Church Covent Garden,51.5116228,-0.1263823
St George's Cathedral Southwark,51.49766007963355, -0.10747819973722941
Skehans,51.4670086,-0.0601303
Wilton's Music Hall,51.5107012796357, -0.06689670159304185
Ronnie Scott's Jazz Club,51.513490610281025, -0.13154573042956932
School of Historic Dress,51.497442496569995, -0.10819661508369491
Villa Garden Lodge (Freddy Mercury's Mansion),51.4942319,-0.1986089
William Blake's Cenotaph,51.52375607113373, -0.08833167021947373
Troxy,51.5130816,-0.046268
Cafe Kick,51.52603277570834, -0.10903290174981937
Dame Alice Owen,51.52815809296565, -0.10464164322927798
Whitecross MArket, 51.52311523058442, -0.09291422455911792
